YEAR,Item,Element,Value,T2M_MAX,T2M_MIN,PRECTOTCORR_SUM,RH2M,WS2M,GWETTOP,GWETROOT,GWETPROF
2008,Barley,Yield,6107.5,46.16,-2.78,10.55,22.31,2.83,0.09,0.2,0.2
2008,Barley,Production,24210.0,46.16,-2.78,10.55,22.31,2.83,0.09,0.2,0.2
2009,Barley,Yield,5888.0,45.23,-0.32,10.55,23.25,2.8,0.09,0.2,0.2
2009,Barley,Production,20443.0,45.23,-0.32,10.55,23.25,2.8,0.09,0.2,0.2
2010,Barley,Yield,6927.7,47.15,0.8,5.27,21.12,2.61,0.06,0.2,0.2
2010,Barley,Production,16391.0,47.15,0.8,5.27,21.12,2.61,0.06,0.2,0.2
2011,Barley,Yield,6835.2,46.38,3.05,68.55,26.19,2.78,0.08,0.2,0.2
2011,Barley,Production,15516.0,46.38,3.05,68.55,26.19,2.78,0.08,0.2,0.2
2012,Barley,Yield,6676.6,47.1,-1.17,26.37,24.31,2.88,0.07,0.19,0.2
2012,Barley,Production,13647.0,47.1,-1.17,26.37,24.31,2.88,0.07,0.19,0.2
2013,Barley,Yield,7501.3,45.79,0.89,21.09,23.88,2.94,0.07,0.2,0.2
2013,Barley,Production,11267.0,45.79,0.89,21.09,23.88,2.94,0.07,0.2,0.2
2014,Barley,Yield,5889.0,45.51,1.55,42.19,25.75,2.8,0.06,0.19,0.2
2014,Barley,Production,596355.0,45.51,1.55,42.19,25.75,2.8,0.06,0.19,0.2
2015,Barley,Yield,6835.0,45.93,0.7,21.09,23.94,2.88,0.06,0.19,0.2
2015,Barley,Production,677964.0,45.93,0.7,21.09,23.94,2.88,0.06,0.19,0.2
2016,Barley,Yield,6676.0,47.39,-0.45,42.19,25.56,2.64,0.09,0.2,0.2
2016,Barley,Production,648620.0,47.39,-0.45,42.19,25.56,2.64,0.09,0.2,0.2
2017,Barley,Yield,6700.0,46.56,-1.24,15.82,23.38,2.76,0.09,0.2,0.21
2017,Barley,Production,637612.0,46.56,-1.24,15.82,23.38,2.76,0.09,0.2,0.21
2018,Barley,Yield,6655.6,46.31,3.46,42.19,25.88,2.91,0.07,0.19,0.2
2018,Barley,Production,624702.0,46.31,3.46,42.19,25.88,2.91,0.07,0.19,0.2
2019,Barley,Yield,6654.9,46.72,3.56,5.27,25.75,2.94,0.06,0.19,0.2
2019,Barley,Production,616074.0,46.72,3.56,5.27,25.75,2.94,0.06,0.19,0.2
2020,Barley,Yield,5373.9,47.47,0.73,31.64,24.81,2.83,0.07,0.19,0.2
2020,Barley,Production,438084.0,47.47,0.73,31.64,24.81,2.83,0.07,0.19,0.2
2021,Barley,Yield,5405.4,47.08,2.62,11.72,22.69,2.79,0.08,0.2,0.2
2021,Barley,Production,4000.0,47.08,2.62,11.72,22.69,2.79,0.08,0.2,0.2
2022,Barley,Yield,5498.7,47.01,-0.42,86.14,24.0,2.79,0.09,0.2,0.2
2022,Barley,Production,4300.0,47.01,-0.42,86.14,24.0,2.79,0.09,0.2,0.2
2008,Dates,Yield,6279.9,46.16,-2.78,10.55,22.31,2.83,0.09,0.2,0.2
2008,Dates,Production,986409.0,46.16,-2.78,10.55,22.31,2.83,0.09,0.2,0.2
2009,Dates,Yield,6122.3,45.23,-0.32,10.55,23.25,2.8,0.09,0.2,0.2
2009,Dates,Production,991660.0,45.23,-0.32,10.55,23.25,2.8,0.09,0.2,0.2
2010,Dates,Yield,6392.2,47.15,0.8,5.27,21.12,2.61,0.06,0.2,0.2
2010,Dates,Production,991546.0,47.15,0.8,5.27,21.12,2.61,0.06,0.2,0.2
2011,Dates,Yield,6461.3,46.38,3.05,68.55,26.19,2.78,0.08,0.2,0.2
2011,Dates,Production,1008105.0,46.38,3.05,68.55,26.19,2.78,0.08,0.2,0.2
2012,Dates,Yield,6573.8,47.1,-1.17,26.37,24.31,2.88,0.07,0.19,0.2
2012,Dates,Production,1031082.0,47.1,-1.17,26.37,24.31,2.88,0.07,0.19,0.2
2013,Dates,Yield,6979.9,45.79,0.89,21.09,23.88,2.94,0.07,0.2,0.2
2013,Dates,Production,1095158.0,45.79,0.89,21.09,23.88,2.94,0.07,0.2,0.2
2014,Dates,Yield,6122.3,45.51,1.55,42.19,25.75,2.8,0.06,0.19,0.2
2014,Dates,Production,656807.0,45.51,1.55,42.19,25.75,2.8,0.06,0.19,0.2
2015,Dates,Yield,9490.6,45.93,0.7,21.09,23.94,2.88,0.06,0.19,0.2
2015,Dates,Production,1038530.0,45.93,0.7,21.09,23.94,2.88,0.06,0.19,0.2
2016,Dates,Yield,10330.2,47.39,-0.45,42.19,25.56,2.64,0.09,0.2,0.2
2016,Dates,Production,1153009.0,47.39,-0.45,42.19,25.56,2.64,0.09,0.2,0.2
2017,Dates,Yield,10752.9,46.56,-1.24,15.82,23.38,2.76,0.09,0.2,0.21
2017,Dates,Production,1224192.0,46.56,-1.24,15.82,23.38,2.76,0.09,0.2,0.21
2018,Dates,Yield,11219.5,46.31,3.46,42.19,25.88,2.91,0.07,0.19,0.2
2018,Dates,Production,1302859.0,46.31,3.46,42.19,25.88,2.91,0.07,0.19,0.2
2019,Dates,Yield,12861.5,46.72,3.56,5.27,25.75,2.94,0.06,0.19,0.2
2019,Dates,Production,1539755.85,46.72,3.56,5.27,25.75,2.94,0.06,0.19,0.2
2020,Dates,Yield,10096.4,47.47,0.73,31.64,24.81,2.83,0.07,0.19,0.2
2020,Dates,Production,1541769.0,47.47,0.73,31.64,24.81,2.83,0.07,0.19,0.2
2021,Dates,Yield,10252.0,47.08,2.62,11.72,22.69,2.79,0.08,0.2,0.2
2021,Dates,Production,1565830.0,47.08,2.62,11.72,22.69,2.79,0.08,0.2,0.2
2022,Dates,Yield,10294.8,47.01,-0.42,86.14,24.0,2.79,0.09,0.2,0.2
2022,Dates,Production,1610731.0,47.01,-0.42,86.14,24.0,2.79,0.09,0.2,0.2
2017,Lemons and limes,Yield,19888.8,46.56,-1.24,15.82,23.38,2.76,0.09,0.2,0.21
2017,Lemons and limes,Production,49722.0,46.56,-1.24,15.82,23.38,2.76,0.09,0.2,0.21
2018,Lemons and limes,Yield,19891.5,46.31,3.46,42.19,25.88,2.91,0.07,0.19,0.2
2018,Lemons and limes,Production,51718.0,46.31,3.46,42.19,25.88,2.91,0.07,0.19,0.2
2019,Lemons and limes,Yield,19891.5,46.72,3.56,5.27,25.75,2.94,0.06,0.19,0.2
2019,Lemons and limes,Production,51718.0,46.72,3.56,5.27,25.75,2.94,0.06,0.19,0.2
2020,Lemons and limes,Yield,20000.0,47.47,0.73,31.64,24.81,2.83,0.07,0.19,0.2
2020,Lemons and limes,Production,57200.0,47.47,0.73,31.64,24.81,2.83,0.07,0.19,0.2
2021,Lemons and limes,Yield,19784.1,47.08,2.62,11.72,22.69,2.79,0.08,0.2,0.2
2021,Lemons and limes,Production,63309.0,47.08,2.62,11.72,22.69,2.79,0.08,0.2,0.2
2022,Lemons and limes,Yield,19838.1,47.01,-0.42,86.14,24.0,2.79,0.09,0.2,0.2
2022,Lemons and limes,Production,67084.75,47.01,-0.42,86.14,24.0,2.79,0.09,0.2,0.2
2017,Olives,Yield,9695.2,46.56,-1.24,15.82,23.38,2.76,0.09,0.2,0.21
2017,Olives,Production,290857.0,46.56,-1.24,15.82,23.38,2.76,0.09,0.2,0.21
2018,Olives,Yield,11927.3,46.31,3.46,42.19,25.88,2.91,0.07,0.19,0.2
2018,Olives,Production,357819.0,46.31,3.46,42.19,25.88,2.91,0.07,0.19,0.2
2019,Olives,Yield,15230.2,46.72,3.56,5.27,25.75,2.94,0.06,0.19,0.2
2019,Olives,Production,357819.0,46.72,3.56,5.27,25.75,2.94,0.06,0.19,0.2
2020,Olives,Yield,11774.7,47.47,0.73,31.64,24.81,2.83,0.07,0.19,0.2
2020,Olives,Production,364546.1,47.47,0.73,31.64,24.81,2.83,0.07,0.19,0.2
2021,Olives,Yield,11991.7,47.08,2.62,11.72,22.69,2.79,0.08,0.2,0.2
2021,Olives,Production,382105.0,47.08,2.62,11.72,22.69,2.79,0.08,0.2,0.2
2022,Olives,Yield,12047.7,47.01,-0.42,86.14,24.0,2.79,0.09,0.2,0.2
2022,Olives,Production,388200.0,47.01,-0.42,86.14,24.0,2.79,0.09,0.2,0.2
2008,Wheat,Yield,6087.7,46.16,-2.78,10.55,22.31,2.83,0.09,0.2,0.2
2008,Wheat,Production,1985556.0,46.16,-2.78,10.55,22.31,2.83,0.09,0.2,0.2
2009,Wheat,Yield,5883.3,45.23,-0.32,10.55,23.25,2.8,0.09,0.2,0.2
2009,Wheat,Production,1152447.0,45.23,-0.32,10.55,23.25,2.8,0.09,0.2,0.2
2010,Wheat,Yield,6147.4,47.15,0.8,5.27,21.12,2.61,0.06,0.2,0.2
2010,Wheat,Production,1349389.0,47.15,0.8,5.27,21.12,2.61,0.06,0.2,0.2
2011,Wheat,Yield,6142.9,46.38,3.05,68.55,26.19,2.78,0.08,0.2,0.2
2011,Wheat,Production,1184454.0,46.38,3.05,68.55,26.19,2.78,0.08,0.2,0.2
2012,Wheat,Yield,5925.4,47.1,-1.17,26.37,24.31,2.88,0.07,0.19,0.2
2012,Wheat,Production,854256.0,47.1,-1.17,26.37,24.31,2.88,0.07,0.19,0.2
2013,Wheat,Yield,6433.3,45.79,0.89,21.09,23.88,2.94,0.07,0.2,0.2
2013,Wheat,Production,660145.0,45.79,0.89,21.09,23.88,2.94,0.07,0.2,0.2
2014,Wheat,Yield,5880.0,45.51,1.55,42.19,25.75,2.8,0.06,0.19,0.2
2014,Wheat,Production,718530.0,45.51,1.55,42.19,25.75,2.8,0.06,0.19,0.2
2015,Wheat,Yield,6142.0,45.93,0.7,21.09,23.94,2.88,0.06,0.19,0.2
2015,Wheat,Production,693776.0,45.93,0.7,21.09,23.94,2.88,0.06,0.19,0.2
2016,Wheat,Yield,5925.0,47.39,-0.45,42.19,25.56,2.64,0.09,0.2,0.2
2016,Wheat,Production,618653.0,47.39,-0.45,42.19,25.56,2.64,0.09,0.2,0.2
2017,Wheat,Yield,6433.3,46.56,-1.24,15.82,23.38,2.76,0.09,0.2,0.21
2017,Wheat,Production,620923.0,46.56,-1.24,15.82,23.38,2.76,0.09,0.2,0.21
2018,Wheat,Yield,6533.4,46.31,3.46,42.19,25.88,2.91,0.07,0.19,0.2
2018,Wheat,Production,586413.0,46.31,3.46,42.19,25.88,2.91,0.07,0.19,0.2
2019,Wheat,Yield,5902.3,46.72,3.56,5.27,25.75,2.94,0.06,0.19,0.2
2019,Wheat,Production,500175.0,46.72,3.56,5.27,25.75,2.94,0.06,0.19,0.2
2020,Wheat,Yield,6375.5,47.47,0.73,31.64,24.81,2.83,0.07,0.19,0.2
2020,Wheat,Production,554562.0,47.47,0.73,31.64,24.81,2.83,0.07,0.19,0.2
2021,Wheat,Yield,6700.0,47.08,2.62,11.72,22.69,2.79,0.08,0.2,0.2
2021,Wheat,Production,612582.0,47.08,2.62,11.72,22.69,2.79,0.08,0.2,0.2
2022,Wheat,Yield,6800.0,47.01,-0.42,86.14,24.0,2.79,0.09,0.2,0.2
2022,Wheat,Production,800000.0,47.01,-0.42,86.14,24.0,2.79,0.09,0.2,0.2
